title,authors,citations,local_pdf,paper_link,bib_source,bib_link,venue,authors_original
Fairness-aware multi-view clustering,"Lecheng Zheng, Yada Zhu, Jingrui He",25,,https://epubs.siam.org/doi/abs/10.1137/1.9781611977653.ch96,UNKNOWN,https://dblp.org/rec/conf/sdm/ZhengZH23,SDM,"L Zheng, Y Zhu, J He - Proceedings of the 2023 SIAM International …, 2023 - SIAM"
Tight fpt approximation for socially fair clustering,Dishant Goyal and Ragesh Jaiswal,23,related-pdfs/Tight_fpt_approximation_for_socially_fair_clustering.pdf,http://arxiv.org/abs/2106.06755v2,DBLP,https://dblp.org/rec/journals/ipl/GoyalJ23,Inf. Process. Lett.,"D Goyal, R Jaiswal - Information Processing Letters, 2023 - Elsevier"
On short term fairness and throughput of user clustering for downlink non-orthogonal multiple access system,"Mohanad M. Al-Wani, Aduwati Sali, Borhanuddin Mohd Ali, Asem A. Salah, Keivan Navaie, Chee Yen Leow, Nor Kamariah Noordin, Shaiful J. Hashim",23,,https://ieeexplore.ieee.org/abstract/document/8746330/,UNKNOWN,https://dblp.org/rec/conf/vtc/Al-WaniSASNLNH19,VTC Spring,"MM Al-Wani, A Sali, BM Ali, AA Salah… - 2019 IEEE 89th …, 2019 - ieeexplore.ieee.org"
Fair clustering using antidote data,Anshuman Chhabra and Adish Singla and Prasant Mohapatra,25,related-pdfs/Fair_clustering_using_antidote_data.pdf,http://arxiv.org/abs/2106.00600v2,DBLP,https://dblp.org/rec/conf/afci/ChhabraSM21,AFCR,"A Chhabra, A Singla… - … Fairness through the Lens …, 2022 - proceedings.mlr.press"
Fairness-aware clique-preserving spectral clustering of temporal graphs,"Dongqi Fu, Dawei Zhou, Ross Maciejewski, Arie Croitoru, Marcus Boyd, Jingrui He",22,,https://dl.acm.org/doi/abs/10.1145/3543507.3583423,UNKNOWN,https://dblp.org/rec/conf/www/Fu0MCBH23,WWW,"D Fu, D Zhou, R Maciejewski, A Croitoru… - Proceedings of the …, 2023 - dl.acm.org"
Revisiting Priority -Center: Fairness and Outliers,"Tanvi Bajpai, Deeparnab Chakrabarty, Chandra Chekuri, Maryam Negahbani",23,,https://arxiv.org/abs/2103.03337,UNKNOWN,https://dblp.org/rec/conf/icalp/BajpaiCCN21,ICALP,"T Bajpai, D Chakrabarty, C Chekuri… - arXiv preprint arXiv …, 2021 - arxiv.org"
Efficient algorithms for fair clustering with a new notion of fairness,Shivam Gupta and Ganesh Ghalme and Narayanan C. Krishnan and Shweta Jain,23,related-pdfs/Efficient_algorithms_for_fair_clustering_with_a_new_notion_of_fairness.pdf,https://doi.org/10.1007/s10618-023-00928-6,DBLP,https://dblp.org/rec/journals/datamine/GuptaGKJ23,Data Min. Knowl. Discov.,"S Gupta, G Ghalme, NC Krishnan, S Jain - Data Mining and Knowledge …, 2023 - Springer"
Deep fair discriminative clustering,"Hongjing Zhang, Ian Davidson",21,,https://arxiv.org/abs/2105.14146,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2105-14146,CoRR,"H Zhang, I Davidson - arXiv preprint arXiv:2105.14146, 2021 - arxiv.org"
A Stochastic Alternating Balance k-Means Algorithm for Fair Clustering,Suyun Liu and Lu\'\is Nunes Vicente,19,related-pdfs/A_Stochastic_Alternating_Balance_k-Means_Algorithm_for_Fair_Clustering.pdf,https://doi.org/10.1007/978-3-031-24866-5_6,DBLP,https://dblp.org/rec/conf/lion/LiuV22,LION,"S Liu, LN Vicente - International Conference on Learning and Intelligent …, 2022 - Springer"
Distributional individual fairness in clustering,Nihesh Anderson and Suman K. Bera and Syamantak Das and Yang Liu,20,related-pdfs/Distributional_individual_fairness_in_clustering.pdf,http://arxiv.org/abs/2006.12589v1,DBLP,https://dblp.org/rec/journals/corr/abs-2006-12589,CoRR,"N Anderson, SK Bera, S Das, Y Liu - arXiv preprint arXiv:2006.12589, 2020 - arxiv.org"
Fair k-center clustering in MapReduce and streaming settings,Suman K. Bera and Syamantak Das and Sainyam Galhotra and Sagar Sudhir Kale,19,related-pdfs/Fair_k-center_clustering_in_MapReduce_and_streaming_settings.pdf,https://doi.org/10.1145/3485447.3512188,DBLP,https://dblp.org/rec/conf/www/BeraDGK22,WWW,"SK Bera, S Das, S Galhotra, SS Kale - Proceedings of the ACM Web …, 2022 - dl.acm.org"
Fair clustering with fair correspondence distribution,Woojin Lee and Hyungjin Ko and Junyoung Byun and Taeho Yoon and Jaewook Lee,16,,https://doi.org/10.1016/j.ins.2021.09.010,DBLP,https://dblp.org/rec/journals/isci/LeeKBYL21,Inf. Sci.,"W Lee, H Ko, J Byun, T Yoon, J Lee - Information Sciences, 2021 - Elsevier"
Learning to generate fair clusters from demonstrations,"Sainyam Galhotra, Sandhya Saisubramanian, Shlomo Zilberstein",16,,https://dl.acm.org/doi/abs/10.1145/3461702.3462558,UNKNOWN,https://dblp.org/rec/conf/aies/GalhotraSZ21,AIES,"S Galhotra, S Saisubramanian… - Proceedings of the 2021 …, 2021 - dl.acm.org"
Improved approximation for fair correlation clustering,Sara Ahmadian and Maryam Negahbani,16,related-pdfs/Improved_approximation_for_fair_correlation_clustering.pdf,http://arxiv.org/abs/2206.05050v1,DBLP,https://dblp.org/rec/conf/aistats/AhmadianN23,AISTATS,"S Ahmadian, M Negahbani - International Conference on …, 2023 - proceedings.mlr.press"
Fair correlation clustering with global and local guarantees,Zachary Friggstad and Ramin Mousavi,17,,https://doi.org/10.1007/978-3-030-83508-8_30,DBLP,https://dblp.org/rec/conf/wads/FriggstadM21a,WADS,"Z Friggstad, R Mousavi - Workshop on Algorithms and Data Structures, 2021 - Springer"
Proportional fairness in clustering: A social choice perspective,Leon Kellerhals and Jannik Peters,24,related-pdfs/Proportional_fairness_in_clustering_A_social_choice_perspective.pdf,http://arxiv.org/abs/2310.18162v2,DBLP,https://dblp.org/rec/conf/nips/Kellerhals024,NeurIPS,"L Kellerhals, J Peters - Advances in Neural Information …, 2024 - proceedings.neurips.cc"
Fairness degrading adversarial attacks against clustering algorithms,Anshuman Chhabra and Adish Singla and Prasant Mohapatra,17,related-pdfs/Fairness_degrading_adversarial_attacks_against_clustering_algorithms.pdf,http://arxiv.org/abs/2110.12020v1,DBLP,https://dblp.org/rec/journals/corr/abs-2110-12020,CoRR,"A Chhabra, A Singla, P Mohapatra - arXiv preprint arXiv:2110.12020, 2021 - arxiv.org"
Proportional fair clustered federated learning,"Mohamed S. Nafea, Eugine Shin, Aylin Yener",17,,https://ieeexplore.ieee.org/abstract/document/9834545/,UNKNOWN,https://dblp.org/rec/conf/isit/NafeaSY22,ISIT,"M Nafea, E Shin, A Yener - 2022 IEEE International …, 2022 - ieeexplore.ieee.org"
Fair correlation clustering in general graphs,Roy Schwartz and Roded Zats,13,related-pdfs/Fair_correlation_clustering_in_general_graphs.pdf,https://doi.org/10.1016/j.tcs.2006.05.008,DBLP,https://dblp.org/rec/conf/approx/SchwartzZ22,APPROX/RANDOM,"R Schwartz, R Zats - Approximation, Randomization, and …, 2022 - drops.dagstuhl.de"
On Coresets for Fair Regression and Individually Fair Clustering.,Rachit Chhaya and Anirban Dasgupta and Jayesh Choudhari and Supratim Shit,17,related-pdfs/On_Coresets_for_Fair_Regression_and_Individually_Fair_Clustering..pdf,https://doi.org/10.1109/bigdata55660.2022.10020548,DBLP,https://dblp.org/rec/conf/aistats/Chhaya0CS22,AISTATS,"R Chhaya, A Dasgupta, J Choudhari, S Shit - AISTATS, 2022 - scholar.archive.org"
Clustering with fair-center representation: Parameterized approximation algorithms and heuristics,Suhas Thejaswi and Ameet Gadekar and Bruno Ordozgoiti and Michal Osadnik,13,,https://doi.org/10.1609/aaai.v36i4.20305,DBLP,https://dblp.org/rec/conf/kdd/ThejaswiGOO22,KDD,"S Thejaswi, A Gadekar, B Ordozgoiti… - Proceedings of the 28th …, 2022 - dl.acm.org"
Fairness constraint of fuzzy c-means clustering improves clustering fairness,Xia Xu and Hui Zhang and Chunming Yang and Xujian Zhao and Bo Li,14,related-pdfs/Fairness_constraint_of_fuzzy_c-means_clustering_improves_clustering_fairness.pdf,https://doi.org/10.1109/icassp49660.2025.10888003,DBLP,https://dblp.org/rec/conf/acml/XuZYZ021,ACML,"X Xia, Z Hui, Y Chunming… - Asian conference on …, 2021 - proceedings.mlr.press"
Fair labeled clustering,Seyed A. Esmaeili and Sharmila Duppala and John P. Dickerson and Brian Brubach,12,related-pdfs/Fair_labeled_clustering.pdf,https://doi.org/10.1145/3534678.3539451,DBLP,https://dblp.org/rec/conf/kdd/EsmaeiliDDB22,KDD,"SA Esmaeili, S Duppala, JP Dickerson… - Proceedings of the 28th …, 2022 - dl.acm.org"
Doubly constrained fair clustering,John P. Dickerson and Seyed A. Esmaeili and Jamie H. Morgenstern and Claire Jie Zhang,13,related-pdfs/Doubly_constrained_fair_clustering.pdf,https://doi.org/10.1145/3534678.3539451,DBLP,https://dblp.org/rec/conf/nips/DickersonEMZ23,NeurIPS,"J Dickerson, S Esmaeili… - Advances in Neural …, 2023 - proceedings.neurips.cc"
Feature-based individual fairness in k-clustering,Debajyoti Kar and Mert Kosan and Debmalya Mandal and Sourav Medya and Arlei Silva and Palash Dey and Swagato Sanyal,14,related-pdfs/Feature-based_individual_fairness_in_k-clustering.pdf,https://doi.org/10.1007/978-981-99-7184-8_2,DBLP,https://dblp.org/rec/conf/atal/KarKMMSDS23,AAMAS,"D Kar, M Kosan, D Mandal, S Medya, A Silva… - arXiv preprint arXiv …, 2021 - arxiv.org"
Representativity fairness in clustering,Deepak P and Savitha Sam Abraham,13,related-pdfs/Representativity_fairness_in_clustering.pdf,http://arxiv.org/abs/2010.07054v1,DBLP,https://dblp.org/rec/conf/websci/0001A20,WebSci,"SS Abraham - arXiv preprint arXiv:2010.07054, 2020 - arxiv.org"
Fair representation clustering with several protected classes,Zhen Dai and Yury Makarychev and Ali Vakilian,12,related-pdfs/Fair_representation_clustering_with_several_protected_classes.pdf,https://doi.org/10.1145/3531146.3533146,DBLP,https://dblp.org/rec/conf/fat/DaiMV22,FAccT,"Z Dai, Y Makarychev, A Vakilian - … of the 2022 ACM Conference on …, 2022 - dl.acm.org"
Fair clustering for diverse and experienced groups,Ilya Amburg and Nate Veldt and Austin R. Benson,14,related-pdfs/Fair_clustering_for_diverse_and_experienced_groups.pdf,https://doi.org/10.1137/1.9781611977172.17,DBLP,https://dblp.org/rec/journals/corr/abs-2006-05645,CoRR,"I Amburg, N Veldt, AR Benson - arXiv preprint arXiv …, 2020 - qiniu.pattern.swarma.org"
Constant-Factor Approximation Algorithms for Socially Fair -Clustering,"Mehrdad Ghadiri, Mohit Singh, Santosh S. Vempala",13,,https://arxiv.org/abs/2206.11210,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2206-11210,CoRR,"M Ghadiri, M Singh, SS Vempala - arXiv preprint arXiv:2206.11210, 2022 - arxiv.org"
Fairness in visual clustering: A novel transformer clustering approach,"Xuan-Bac Nguyen, Chi Nhan Duong, Marios Savvides, Kaushik Roy, Khoa Luu",11,,https://arxiv.org/abs/2304.07408,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2304-07408,CoRR,"XB Nguyen, CN Duong, M Savvides, K Roy… - arXiv preprint arXiv …, 2023 - arxiv.org"
Evaluating performance of scalable fair clustering machine learning techniques in detecting cyber attacks in industrial control systems,"A Handa, P Semwal - Handbook of Big Data Analytics and Forensics, 2022 - Springer",11,,https://link.springer.com/chapter/10.1007/978-3-030-74753-4_7,UNKNOWN,,,"A Handa, P Semwal - Handbook of Big Data Analytics and Forensics, 2022 - Springer"
A scalable algorithm for individually fair k-means clustering,MohammadHossein Bateni and Vincent Cohen-Addad and Alessandro Epasto and Silvio Lattanzi,16,related-pdfs/A_scalable_algorithm_for_individually_fair_k-means_clustering.pdf,http://arxiv.org/abs/2402.06730v1,DBLP,https://dblp.org/rec/conf/aistats/BateniCEL24,AISTATS,"MH Bateni, V Cohen-Addad… - International …, 2024 - proceedings.mlr.press"
Consistency of constrained spectral clustering under graph induced fair planted partitions,"Shubham Gupta, Ambedkar Dukkipati",14,,https://proceedings.neurips.cc/paper_files/paper/2022/hash/57d7e7e1593ad1ab6818c258fa5654ce-Abstract-Conference.html,UNKNOWN,https://dblp.org/rec/conf/nips/GuptaD22,NeurIPS,"S Gupta, A Dukkipati - Advances in Neural Information …, 2022 - proceedings.neurips.cc"
Balanced fair K-Means clustering,Renbo Pan and Caiming Zhong and Jiangbo Qian,11,,https://doi.org/10.1109/tii.2023.3342888,DBLP,https://dblp.org/rec/journals/tii/PanZQ24,IEEE Trans. Ind. Informatics,"R Pan, C Zhong, J Qian - IEEE Transactions on Industrial …, 2023 - ieeexplore.ieee.org"
k-Clustering with Fair Outliers,Daichi Amagata,12,,https://doi.org/10.1145/3488560.3498485,DBLP,https://dblp.org/rec/conf/aistats/Amagata24,WSDM,"M Almanza, A Epasto, A Panconesi, G Re - Proceedings of the Fifteenth …, 2022 - dl.acm.org"
Whither fair clustering,Deepak P,9,,https://arxiv.org/abs/2007.07838,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2007-07838,CoRR,"P Deepak - AI for Social Good Workshop. Harvard CRCS, 2020 - arxiv.org"
Towards cohesion-fairness harmony: Contrastive regularization in individual fair graph clustering,Siamak Ghodsi and Seyed Amjad Seyedi and Eirini Ntoutsi,12,related-pdfs/Towards_cohesion-fairness_harmony_Contrastive_regularization_in_individual_fair_graph_clustering.pdf,https://doi.org/10.1007/978-981-97-2242-6_23,DBLP,https://dblp.org/rec/conf/pakdd/GhodsiSN24,PAKDD,"S Ghodsi, SA Seyedi, E Ntoutsi - Pacific-Asia Conference on Knowledge …, 2024 - Springer"
Fal-cur: fair active learning using uncertainty and representativeness on fair clustering,"Ricky Maulana Fajri, Akrati Saxena, Yulong Pei, Mykola Pechenizkiy",8,,https://www.sciencedirect.com/science/article/pii/S0957417423033444,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2209-12756,CoRR,"RM Fajri, A Saxena, Y Pei, M Pechenizkiy - Expert Systems with …, 2024 - Elsevier"
A dual Laplacian framework with effective graph learning for unified fair spectral clustering,"Xiang Zhang, Qiao Wang",8,,https://www.sciencedirect.com/science/article/pii/S0925231224009810,UNKNOWN,https://dblp.org/rec/journals/ijon/ZhangW24a,Neurocomputing,"X Zhang, Q Wang - Neurocomputing, 2024 - Elsevier"
Algorithms for fair k-clustering with multiple protected attributes,Matteo Böhm and Adriano Fazzone and Stefano Leonardi and Cristina Menghini and Chris Schwiegelshohn,7,,https://doi.org/10.1016/j.orl.2021.08.011,DBLP,https://dblp.org/rec/journals/orl/BohmFLMS21,Oper. Res. Lett.,"M Böhm, A Fazzone, S Leonardi, C Menghini… - Operations Research …, 2021 - Elsevier"
Fairness first clustering: A multi-stage approach for mitigating bias,"R Pan, C Zhong - Electronics, 2023 - mdpi.com",8,,https://doi.org/10.3390/electronics12132969,NONE,,,"R Pan, C Zhong - Electronics, 2023 - mdpi.com"
Proportional fairness in non-centroid clustering,Ioannis Caragiannis and Evi Micha and Nisarg Shah,8,related-pdfs/Proportional_fairness_in_non-centroid_clustering.pdf,https://doi.org/10.1007/978-3-031-49094-1_2,DBLP,https://dblp.org/rec/conf/nips/CaragiannisM024,NeurIPS,"I Caragiannis, E Micha, N Shah - Advances in Neural …, 2024 - proceedings.neurips.cc"
Generalized reductions: making any hierarchical clustering fair and balanced with low cost,"Marina Knittel, Max Springer, John P. Dickerson, MohammadTaghi Hajiaghayi",6,,http://proceedings.mlr.press/v202/knittel23a.html,UNKNOWN,https://dblp.org/rec/conf/icml/KnittelSDH23,ICML,"M Knittel, M Springer, JP Dickerson… - International …, 2023 - proceedings.mlr.press"
"Fair, polylog-approximate low-cost hierarchical clustering",Marina Knittel and Max Springer and John P. Dickerson and MohammadTaghi Hajiaghayi,5,related-pdfs/Fair_polylog-approximate_low-cost_hierarchical_clustering.pdf,https://doi.org/10.1109/icmla55696.2022.00036,DBLP,https://dblp.org/rec/conf/nips/KnittelSDH23,NeurIPS,"M Knittel, M Springer, J Dickerson… - Advances in Neural …, 2023 - proceedings.neurips.cc"
One-stage fair multi-view spectral clustering,"Rongwen Li, Haiyang Hu, Liang Du, Jiarong Chen, Bingbing Jiang, Peng Zhou",6,,https://dl.acm.org/doi/abs/10.1145/3664647.3681162,UNKNOWN,https://dblp.org/rec/conf/mm/LiHDC0Z24,ACM Multimedia,"R Li, H Hu, L Du, J Chen, B Jiang, P Zhou - Proceedings of the 32nd …, 2024 - dl.acm.org"
Fast and accurate fair k-center clustering in doubling metrics,Matteo Ceccarello and Andrea Pietracaprina and Geppino Pucci,7,,https://doi.org/10.1145/3589334.3645568,DBLP,https://dblp.org/rec/conf/www/CeccarelloPP24,WWW,"M Ceccarello, A Pietracaprina, G Pucci - Proceedings of the ACM Web …, 2024 - dl.acm.org"
Fair minimum representation clustering,Connor Lawless and Oktay Günlük,5,related-pdfs/Fair_minimum_representation_clustering.pdf,http://arxiv.org/abs/2302.03151v2,DBLP,https://dblp.org/rec/conf/cpaior/LawlessG24,CPAIOR,"C Lawless, O Günlük - International Conference on the Integration of …, 2024 - Springer"
Scalable and improved algorithms for individually fair clustering,"M Bateni, V Cohen-Addad, A Epasto… - … on Trustworthy and …, 2022 - openreview.net",6,,https://openreview.net/forum?id=gdPiOBu99Y,UNKNOWN,,,"M Bateni, V Cohen-Addad, A Epasto… - … on Trustworthy and …, 2022 - openreview.net"
MultiFDF: Multi-community clustering for fairness-aware recommendation,"Bang Wang, Shipeng Song, Shenghao Liu, Xianjun Deng",7,,https://ieeexplore.ieee.org/abstract/document/10145482/,UNKNOWN,https://dblp.org/rec/journals/tcss/WangSLD23,IEEE Trans. Comput. Soc. Syst.,"B Wang, S Song, S Liu, X Deng - IEEE Transactions on …, 2023 - ieeexplore.ieee.org"
A gibbs posterior framework for fair clustering,"Abhisek Chakraborty, Anirban Bhattacharya, Debdeep Pati",6,,https://www.mdpi.com/1099-4300/26/1/63,UNKNOWN,https://dblp.org/rec/journals/entropy/ChakrabortyBP24,Entropy,"A Chakraborty, A Bhattacharya, D Pati - Entropy, 2024 - mdpi.com"
Fair correlation clustering in forests,"Katrin Casel, Tobias Friedrich, Martin Schirneck, Simon Wietheger",5,,https://arxiv.org/abs/2302.11295,UNKNOWN,https://dblp.org/rec/conf/forc/Casel0SW23,FORC,"K Casel, T Friedrich, M Schirneck… - arXiv preprint arXiv …, 2023 - arxiv.org"
When correlation clustering meets fairness constraints,Francesco Gullo and Lucio La Cava and Domenico Mandaglio and Andrea Tagarelli,6,related-pdfs/When_Correlation_Clustering_Meets_Fairness_Constraints.pdf,https://doi.org/10.1007/978-3-031-18840-4_22,DBLP,https://dblp.org/rec/conf/dis/GulloCMT22,DS,"F Gullo, L La Cava, D Mandaglio, A Tagarelli - … Conference on Discovery …, 2022 - Springer"
Fairness in clustering,Yue Lin and George Grekousis,4,related-pdfs/Fairness_in_clustering.pdf,http://arxiv.org/abs/2010.07054v1,DBLP,https://dblp.org/rec/journals/gis/LinG25,J. Interact. Syst.,"P Awasthi, B Brubach, D Chakrabarty… - AAAI Conference on …, 2022 - fairclustering.com"
"Fair clustering: Critique, caveats, and future directions",John Dickerson and Seyed A. Esmaeili and Jamie Morgenstern and Claire Jie Zhang,3,related-pdfs/Fair_Clustering_Critique_Caveats_and_Future_Directions.pdf,http://arxiv.org/abs/2406.15960v1,DBLP,https://dblp.org/rec/conf/satml/0001EMZ25,CoRR,"J Dickerson, SA Esmaeili, J Morgenstern… - arXiv preprint arXiv …, 2024 - arxiv.org"
Fair clustering ensemble with equal cluster capacity,"Peng Zhou, Rongwen Li, Zhaolong Ling, Liang Du, Xinwang Liu",6,,https://doi.org/10.1109/tpami.2024.3507857,NONE,https://dblp.org/rec/journals/pami/ZhouLLDL25,IEEE Trans. Pattern Anal. Mach. Intell.,"P Zhou, R Li, Z Ling, L Du, X Liu - IEEE Transactions on Pattern …, 2024 - ieeexplore.ieee.org"
The Fairness-Quality Tradeoff in Clustering,Rashida Hakim and Ana-Andreea Stoica and Christos H. Papadimitriou and Mihalis Yannakakis,4,related-pdfs/The_Fairness-Quality_Trade-off_in_Clustering.pdf,https://arxiv.org/abs/2408.10002,DBLP,https://dblp.org/rec/journals/corr/abs-2408-10002,NeurIPS,"R Hakim, AA Stoica… - Advances in Neural …, 2024 - proceedings.neurips.cc"
Fair k-center clustering with outliers,Daichi Amagata,7,related-pdfs/Fair_k-center_clustering_with_outliers.pdf,https://doi.org/10.1007/978-3-030-96772-7_39,DBLP,https://dblp.org/rec/conf/aistats/Amagata24,AISTATS,"D Amagata - International Conference on Artificial …, 2024 - proceedings.mlr.press"
